Player,Score,Mode,Date,Source
Cylis,16865,original,2025-08-16T20:18:37.348Z,gist
TG Biscuits,13635,original,2025-08-14T21:25:13.323Z,gist
azi,11585,original,2025-08-16T20:06:57.196Z,gist
TG MAXEY,11380,original,2024-01-15T10:30:00.000Z,gist
TG Biscuits,11255,original,2025-08-16T05:20:15.233Z,gist
CYLIS,11190,original,2024-01-14T18:45:00.000Z,gist
CYLIS,9680,original,2024-01-14T18:45:00.000Z,gist
TG Biscuits,9630,original,2025-08-15T23:39:16.030Z,gist
TG Biscuits,8990,original,2025-08-16T04:21:11.558Z,gist
TG Biscuits,8960,original,2025-08-15T06:24:07.341Z,gist
TG Biscuits,8780,original,2025-08-16T04:46:35.383Z,gist
Erin B,8715,original,2025-08-15T06:22:06.974Z,gist
TG Biscuits,8390,original,2025-08-16T05:01:21.541Z,gist
TG Biscuits,8335,original,2025-08-16T04:12:18.024Z,gist
TG Biscuits,8145,original,2025-08-16T05:14:36.203Z,gist
TG Biscuits,18960,ballGoBoom,2025-08-16T21:42:08.096Z,gist
TG Biscuits,16100,ballGoBoom,2025-08-16T21:42:08.096Z,gist
Erin B,13315,ballGoBoom,2025-08-16T21:42:08.096Z,gist
Cylis,9905,ballGoBoom,2025-08-17T05:42:03.799Z,gist
Erin B,9765,ballGoBoom,2025-08-17T18:48:23.238Z,gist
azi,9255,ballGoBoom,2025-08-19T17:42:24.363Z,gist
TG Biscuits,8935,ballGoBoom,2025-08-16T19:45:50.529Z,gist
azi,8815,ballGoBoom,2025-08-19T17:33:44.655Z,gist
Erin B,8425,ballGoBoom,2025-08-16T20:37:46.851Z,gist
Cylis,8060,ballGoBoom,2025-08-16T22:18:30.948Z,gist
TG Biscuits,8025,ballGoBoom,2025-08-16T21:03:38.106Z,gist
TG Biscuits,7835,ballGoBoom,2025-08-16T21:08:06.519Z,gist
Erin B,7670,ballGoBoom,2025-08-16T21:28:42.680Z,gist
Erin B,7555,ballGoBoom,2025-08-19T17:26:28.963Z,gist
Erin B,7390,ballGoBoom,2025-08-16T23:24:59.834Z,gist
TG Biscuits,6910,ballGoBoom,2025-08-16T20:58:52.828Z,gist
TG Biscuits,6590,ballGoBoom,2025-08-16T20:53:54.056Z,gist
Erin B,10475,iceFrost,2025-08-19T15:55:30.708Z,gist
azi,10295,iceFrost,2025-08-19T16:16:09.787Z,gist
azi,9070,iceFrost,2025-08-22T00:06:40.465Z,gist
Erin B,9000,iceFrost,2025-08-19T20:47:07.035Z,gist
azi,7070,iceFrost,2025-08-19T16:10:30.114Z,gist
Erin B,6580,iceFrost,2025-08-21T23:54:47.108Z,gist
Anonymous,6285,iceFrost,2025-08-19T09:28:51.887Z,gist
Erin B,5435,iceFrost,2025-08-19T16:01:16.924Z,gist
Erin B',4960,iceFrost,2025-08-19T15:45:33.309Z,gist
azi,4300,iceFrost,2025-08-19T16:20:26.609Z,gist
azi,3790,iceFrost,2025-08-19T16:27:58.258Z,gist
azi,3140,iceFrost,2025-08-22T00:00:27.265Z,gist
azi,3125,iceFrost,2025-08-19T16:23:03.200Z,gist
azi,2980,iceFrost,2025-08-17T01:00:20.501Z,gist
azi,1970,iceFrost,2025-08-19T16:05:52.934Z,gist
tester,305,original,2025-08-20T07:01:51.703Z,gist
